2.534e+05,1.8345e+07,8.1552e+06,3.165e+07,9.4218e+06,1.6295e+07,9.5978e+06
92613,5.1776e+06,6.254e+06,1.4957e+07,6.4477e+06,8.9477e+06,6.4389e+06
6.6265e+05,4.2845e+07,1.4094e+07,1.0623e+08,1.8742e+07,3.562e+07,1.6683e+07
4.6929e+05,2.0084e+07,1.1263e+07,5.1559e+07,1.3788e+07,3.2096e+07,1.2624e+07
2.0424e+05,8.8975e+06,7.4292e+06,1.416e+07,8.2494e+06,1.1433e+07,8.4917e+06
8.1986e+05,5.6735e+07,1.899e+07,4.9664e+07,2.1532e+07,5.4891e+07,2.1084e+07
36988,2.8704e+06,5.1538e+06,7.5341e+06,5.3715e+06,6.3189e+06,5.3928e+06
2.9016e+05,1.5196e+07,8.9182e+06,4.5614e+07,1.0339e+07,1.8119e+07,1.0057e+07
7.2284e+05,4.5975e+07,1.8744e+07,1.0168e+08,2.2285e+07,4.1821e+07,2.1942e+07
49007,5.1767e+06,8.5199e+06,1.4544e+07,7.2735e+06,1.5784e+07,6.496e+06
4.6065e+05,1.5779e+07,1.0556e+07,2.3162e+07,1.1889e+07,2.0046e+07,1.1875e+07
4.3258e+05,1.6514e+07,1.0863e+07,3.8455e+07,1.2589e+07,2.0868e+07,1.2504e+07
4.7302e+05,1.9984e+07,1.1193e+07,5.1816e+07,1.3767e+07,2.6465e+07,1.304e+07
5.7508e+05,2.607e+07,1.2744e+07,1.0331e+08,1.6976e+07,2.9061e+07,1.5716e+07
3.4441e+06,1.3892e+08,5.505e+07,4.7901e+08,8.3352e+07,1.5184e+08,9.9145e+07
3.4287e+05,1.3999e+07,9.9779e+06,3.9446e+07,1.154e+07,1.8081e+07,1.1093e+07
2.3466e+05,1.22e+07,7.8309e+06,3.3727e+07,9.1915e+06,1.5103e+07,9.2346e+06
2.676e+06,1.0588e+08,4.332e+07,1.9141e+08,5.0668e+07,1.071e+08,5.0776e+07
2.7355e+06,1.1343e+08,4.6032e+07,3.1051e+08,8.8655e+07,1.0261e+08,5.2457e+07
1.1679e+06,4.2773e+07,2.1659e+07,8.6867e+07,2.525e+07,4.8177e+07,2.7313e+07
1.1255e+06,4.1821e+07,2.2232e+07,1.2316e+08,2.7103e+07,5.024e+07,2.6936e+07
12275,1.905e+06,4.8075e+06,6.0532e+06,5.0657e+06,5.4826e+06,4.9372e+06
5.4396e+05,2.2701e+07,1.2711e+07,6.2362e+07,1.7482e+07,2.9185e+07,1.3891e+07
34056,2.7174e+06,5.2538e+06,6.5255e+06,5.1723e+06,6.0353e+06,5.4257e+06
55156,3.4899e+06,5.3841e+06,1.2164e+07,5.9596e+06,7.2602e+06,5.921e+06
9.5484e+05,4.1654e+07,1.904e+07,4.8291e+07,2.3685e+07,4.019e+07,2.2146e+07
2.1527e+05,9.9046e+06,7.6403e+06,4.2473e+07,9.022e+06,1.381e+07,8.6667e+06
1.1679e+06,4.2229e+07,1.9731e+07,7.6158e+07,2.3729e+07,4.3107e+07,2.4359e+07
37960,3.6836e+06,5.372e+06,7.2787e+06,5.3196e+06,6.5351e+06,5.49e+06
5.9295e+05,6.6843e+07,3.0452e+07,9.5776e+07,3.2279e+07,7.0887e+07,3.1486e+07
4.2974e+05,1.5757e+07,1.0424e+07,6.5907e+07,1.336e+07,2.2504e+07,1.2611e+07
8.0556e+05,3.0503e+07,1.5916e+07,9.9844e+07,1.941e+07,3.6111e+07,1.8665e+07
22003,2.335e+06,4.9804e+06,9.6827e+06,6.7576e+06,5.7657e+06,5.3914e+06
3.9484e+05,1.5996e+07,9.9344e+06,1.6257e+08,1.2267e+07,3.7025e+07,1.131e+07
3.9929e+05,1.7121e+07,1.0016e+07,2.3358e+07,1.1172e+07,2.0832e+07,1.19e+07
43860,4.0136e+06,5.4682e+06,7.0552e+06,5.2853e+06,7.0939e+06,6.8394e+06
1.6377e+07,8.8095e+08,2.4853e+08,1.1372e+09,2.9309e+08,8.3636e+08,3.0826e+08
84900,4.1701e+06,5.9342e+06,8.35e+06,6.0099e+06,7.746e+06,6.2516e+06
20219,2.8248e+06,5.1801e+06,6.9327e+06,5.3116e+06,6.1833e+06,5.4924e+06
1.1159e+06,5.0519e+07,3.9315e+06,1.5269e+08,4.0791e+06,5.2273e+07,4.3953e+06
5.5126e+05,2.5514e+07,3.9322e+06,7.7549e+07,4.2939e+06,2.7774e+07,4.7218e+06
7.6944e+05,3.1693e+07,2.5367e+07,7.0262e+07,3.3705e+07,4.3036e+07,3.0494e+07
1.0665e+06,4.8039e+07,2.1133e+07,1.5242e+08,2.9765e+07,5.7433e+07,2.4704e+07
