1,1984,1973.5,1984
5,9820.3,9824.5,9812.8
10,19021,18996,19223
15,28341,28828,29083
20,37427,38547,38831
25,47138,47592,47756
30,56265,57260,57840
35,65951,67100,67496
40,75560,76285,77691
