5,1,1
6,4,1
7,3,3
21,1,1
25,1,1
27,4,4
32,4,1
33,1,1
34,3,3
48,1,1
52,1,1
54,4,4
59,1,1
60,1,1
61,3,3
75,1,1
79,1,1
81,4,4
83,4,4
89,4,4
93,3,3
94,1,1
103,1,1
104,1,1
105,3,3
119,1,1
123,1,1
125,4,4
127,4,4
133,4,4
137,3,3
138,1,1
144,4,4
150,4,4
154,3,3
155,1,1
161,4,4
167,4,4
171,1,3
172,1,1
181,1,1
182,4,1
183,3,3
197,1,1
201,1,1
203,4,4
205,4,4
211,4,4
215,3,3
216,1,1
225,1,1
226,4,1
227,3,3
241,1,1
245,1,1
247,4,4
252,1,1
253,1,1
254,3,3
268,1,1
272,1,1
274,4,4
279,1,1
280,1,1
281,3,3
295,1,1
299,1,1
301,4,4
303,4,4
309,4,4
313,3,3
314,1,1
320,4,4
326,4,4
330,3,3
331,1,1
337,4,4
343,4,4
347,3,3
348,1,1
354,4,4
360,4,4
364,3,3
365,1,1
374,1,1
375,1,1
376,3,3
390,1,1
394,1,1
396,4,4
398,4,4
404,4,4
408,3,3
409,1,1
418,1,1
419,1,1
420,3,3
434,1,1
438,1,1
440,4,4
442,4,4
448,4,4
452,3,3
453,1,1
462,1,1
463,1,1
464,3,3
478,1,1
482,1,1
484,4,4
486,4,4
492,1,1
496,3,3
497,1,1
506,1,1
507,1,1
508,3,3
522,1,1
526,1,1
528,4,4
530,4,4
536,4,1
540,1,1
541,1,1
550,1,1
551,4,1
552,3,3
566,1,1
570,1,1
572,4,4
577,1,1
578,1,1
579,3,3
593,1,1
597,1,1
599,4,4
601,4,4
607,4,4
611,3,3
612,1,1
618,4,4
624,4,4
628,3,3
629,1,1
635,4,4
641,4,4
645,3,3
646,1,1
652,4,4
658,4,4
662,3,3
663,1,1
669,4,4
675,4,4
679,3,3
680,1,1
689,1,1
690,1,1
691,3,3
705,1,1
709,1,1
711,4,4
713,4,4
719,4,4
723,3,3
724,1,1
730,4,4
736,4,4
740,3,3
741,1,1
750,1,1
751,4,1
752,3,3
766,1,1
770,1,1
772,4,4
777,1,1
778,1,1
779,3,3
793,1,1
797,1,1
799,4,4
801,4,4
807,4,4
811,3,3
812,1,1
818,4,4
824,4,4
828,3,3
829,1,1
835,4,4
841,4,4
845,3,3
846,1,1
852,4,4
858,4,4
862,3,3
863,1,1
872,1,1
873,1,1
874,3,3
888,1,1
892,1,1
894,4,4
896,4,4
902,4,4
906,3,3
907,1,1
913,4,4
919,4,4
923,3,3
924,1,1
933,1,1
934,1,1
935,3,3
949,1,1
953,1,1
955,4,4
957,4,4
963,4,4
967,3,3
968,1,1
977,1,1
978,1,1
979,3,3
993,1,1
997,1,1
999,4,4
1004,1,1
1005,4,1
1006,3,3
1020,1,1
1024,1,1
1026,4,4
1031,1,1
1032,4,1
1033,3,3
1047,1,1
1051,1,1
1053,4,4
1055,4,4
1061,4,4
1065,3,3
1066,1,1
1075,1,1
1076,1,1
1077,3,3
1091,1,1
1095,1,1
1097,4,4
1099,4,4
1105,4,4
1109,3,3
1110,1,1
1119,1,1
1120,1,1
1121,3,3
1135,1,1
1139,1,1
1141,4,4
1143,4,4
1149,4,4
1153,3,3
1154,1,1
1163,1,1
1164,1,1
1165,3,3
1179,1,1
1183,1,1
1185,4,4
1190,1,1
1191,1,1
1192,3,3
1206,1,1
1210,1,1
1212,4,4
1217,1,1
1218,1,1
1219,3,3
1233,1,1
1237,1,1
1239,4,4
1241,4,4
1247,4,4
1251,3,3
1252,1,1
1261,1,1
1262,4,1
1263,3,3
1277,1,1
1281,1,1
1283,4,4
1288,1,1
1289,1,1
1290,3,1
1304,1,1
1308,1,1
1310,4,4
1315,1,1
1316,1,1
1317,3,3
1331,1,1
1335,1,1
1337,4,4
1339,4,4
1345,4,4
1349,3,3
1350,1,1
1356,4,4
1362,4,4
1366,3,3
1367,1,1
1376,1,1
1377,1,1
1378,3,3
1392,1,1
1396,1,1
1398,4,4
1403,1,1
1404,1,1
1405,3,1
1419,1,1
1423,1,1
1425,4,4
1427,4,4
1433,4,4
1437,3,3
1438,1,1
1447,1,1
1448,1,1
1449,3,3
1463,1,1
1467,1,1
1469,4,4
1474,1,1
1475,1,1
1476,3,1
1490,1,1
1494,1,1
1496,4,4
1501,1,1
1502,1,1
1503,3,3
1517,1,1
1521,1,1
1523,4,4
1525,4,4
