80232,5.8941e+06,10238,5.5956e+06,10149,5.5991e+06,7765,5.7529e+06,9920,5.7236e+06
1.1954e+06,2.5691e+07,9.3395e+05,2.2224e+07,9.3456e+05,2.3065e+07,5.6771e+05,2.3144e+07,9.9008e+05,2.309e+07
1.8248e+05,8.0731e+06,1.5448e+05,7.5539e+06,1.5458e+05,7.6615e+06,2.7217e+05,8.2757e+06,68333,7.5214e+06
2.666e+05,1.0881e+07,31111,1.0089e+07,31266,1.0163e+07,31297,9.8457e+06,35990,1.0191e+07
33616,5.1514e+06,26314,5.2272e+06,412,5.1034e+06,462,5.0494e+06,686,5.0484e+06
1.0052e+06,2.3211e+07,1.0538e+05,2.0907e+07,55076,2.0265e+07,55111,2.1041e+07,99094,2.0815e+07
4.8734e+05,1.2431e+07,3.9601e+05,1.1489e+07,3.9626e+05,1.1893e+07,7.4639e+05,1.2985e+07,2.2112e+05,1.1532e+07
76942,6.8938e+06,26859,6.5817e+06,26630,6.6209e+06,18153,6.7225e+06,28544,6.8253e+06
1.9155e+06,4.3129e+07,4.1919e+05,3.6252e+07,4.1959e+05,3.6718e+07,4.1997e+05,3.8177e+07,5.0151e+05,3.7545e+07
1.066e+05,6.5033e+06,36801,6.2101e+06,238,6.1462e+06,262,6.1919e+06,1283,6.073e+06
3.255e+05,1.0105e+07,2.0353e+05,9.0292e+06,2.0369e+05,9.1918e+06,1.1868e+05,9.525e+06,2.1821e+05,9.2216e+06
2.1671e+05,8.4829e+06,1.2200e+05,7.7575e+06,1.2212e+05,7.6149e+06,3.2509e+05,8.3491e+06,68649,7.6498e+06
1.05e+05,6.4615e+06,65714,6.1816e+06,65775,6.1977e+06,1.5419e+05,6.6357e+06,19826,6.0236e+06
1.1768e+05,6.6274e+06,47949,6.1508e+06,47913,6.3271e+06,58597,6.4126e+06,50604,6.5778e+06
5.0766e+05,1.27e+07,1.1124e+05,1.1256e+07,1.1149e+05,1.1546e+07,1.1188e+05,1.1878e+07,1.1575e+05,1.1462e+07
283,5.8381e+06,267,5.6953e+06,274,5.8268e+06,295,5.7738e+06,299,5.7271e+06
