1.2902e+06,5.5626e+07,1.0987e+08,5.1783e+07,5.3341e+07,5.9612e+07
3.4398e+05,2.276e+07,2.3445e+07,2.3404e+07,2.1716e+07,1.7765e+07
1.0525e+06,4.4627e+07,4.5085e+07,4.2526e+07,4.4042e+07,4.0465e+07
1.881e+05,8.8641e+06,8.76e+06,8.1959e+06,8.2821e+06,7.976e+06
8.599e+06,3.8973e+08,2.1273e+09,5.0216e+08,4.0904e+08,3.5714e+08
59766,4.3879e+06,4.2036e+06,4.0763e+06,4.0323e+06,3.9292e+06
7.8929e+05,3.3698e+07,3.1184e+07,2.9025e+07,3.02e+07,2.9289e+07
92652,4.8278e+06,4.5211e+06,5.0701e+06,4.9957e+06,5.0414e+06
1.3951e+05,8.9886e+06,8.2826e+06,9.3162e+06,8.8198e+06,8.6043e+06
5.4365e+05,2.4812e+07,4.0901e+07,2.4406e+07,2.4499e+07,2.3197e+07
1.1794e+06,4.0831e+07,3.9622e+07,3.5485e+07,3.6852e+07,3.5386e+07
1.6548e+05,8.287e+06,1.1463e+07,7.4741e+06,7.4758e+06,8.5484e+06
74512,4.7723e+06,6.0085e+06,4.8567e+06,4.612e+06,4.352e+06
3.0248e+05,1.2837e+07,1.1783e+07,1.4368e+07,1.362e+07,1.394e+07
1.2724e+05,7.0159e+06,6.834e+06,6.4109e+06,6.3848e+06,6.2787e+06
1.6441e+06,6.3742e+07,6.1086e+07,5.5734e+07,6.6834e+07,6.8671e+07
3.3358e+05,1.5661e+07,1.6195e+07,1.4426e+07,1.4548e+07,1.4268e+07
34380,3.3124e+06,3.0891e+06,3.2246e+06,3.0301e+06,2.8741e+06
3.3358e+05,1.2773e+07,1.2156e+07,1.1282e+07,1.3709e+07,1.1118e+07
1.348e+05,6.3929e+06,5.9845e+06,6.7406e+06,6.7349e+06,6.6186e+06
25175,3.7594e+06,4.7498e+06,3.4865e+06,3.2739e+06,4.0482e+06
9956,3.0723e+06,2.935e+06,2.9513e+06,2.9348e+06,2.9071e+06
2.7498e+05,1.0979e+07,1.0466e+07,1.2131e+07,1.2301e+07,1.1956e+07
1.1954e+06,4.0022e+07,3.9439e+07,4.3619e+07,4.5425e+07,4.3219e+07
1.0725e+06,3.9288e+07,3.4725e+07,4.192e+07,4.0293e+07,4.0995e+07
2.0563e+07,7.4091e+08,8.7068e+08,6.434e+08,8.8474e+08,1.0231e+09
2.9992e+05,1.512e+07,2.2128e+07,1.4627e+07,1.4585e+07,1.6141e+07
31739,3.5032e+06,3.4852e+06,3.5645e+06,3.4572e+06,3.5331e+06
4.7271e+05,1.7174e+07,1.5458e+07,1.5598e+07,1.8039e+07,1.832e+07
691,4.0157e+06,3.8025e+06,3.7904e+06,3.7256e+06,3.7151e+06
3.4284e+05,1.3858e+07,1.3343e+07,1.2411e+07,1.3027e+07,1.2252e+07
1.1342e+06,4.0815e+07,4.0161e+07,3.7154e+07,3.802e+07,3.5587e+07
6.0307e+05,2.6386e+07,2.7336e+07,2.5155e+07,2.55e+07,2.4023e+07
4.1907e+05,2.3968e+07,2.3073e+07,2.8847e+07,2.9288e+07,2.864e+07
1.1255e+06,6.5945e+07,6.3506e+07,5.4535e+07,7.2141e+07,6.963e+07
73168,5.3731e+06,6.9414e+06,5.1064e+06,4.8646e+06,4.953e+06
1.9101e+06,8.429e+07,9.3889e+07,7.5034e+07,7.7356e+07,7.5561e+07
87976,4.7338e+06,4.4581e+06,4.8663e+06,4.9247e+06,4.7912e+06
77148,4.6456e+06,6.0483e+06,4.4772e+06,4.3591e+06,4.7783e+06
6.1505e+05,2.5797e+07,2.6024e+07,2.3903e+07,2.437e+07,2.3097e+07
24227,1.1476e+07,6.5855e+06,6.2014e+06,6.769e+06,4.2626e+06
1.1342e+06,4.0405e+07,3.9507e+07,3.5095e+07,3.6822e+07,3.5263e+07
98192,6.5221e+06,8.917e+06,6.5767e+06,5.857e+06,6.3145e+06
7.0454e+05,8.9588e+07,1.0274e+08,8.9316e+07,8.9143e+07,8.9063e+07
4346,1.8321e+06,1.6075e+06,1.6502e+06,1.5799e+06,1.5242e+06
79407,2.9492e+07,2.9898e+07,2.9527e+07,2.8723e+07,2.8784e+07
1.2731e+05,6.9291e+06,9.8766e+06,6.5799e+06,6.5626e+06,7.2712e+06
3.184e+05,1.2435e+07,1.1455e+07,1.3664e+07,1.331e+07,1.3436e+07
1.0052e+06,9.0478e+07,5.4707e+07,5.5729e+07,4.6193e+07,4.8867e+07
1.1803e+06,4.9966e+07,5.1017e+07,4.7251e+07,4.8554e+07,4.5085e+07
5.2619e+05,2.4261e+07,2.5406e+07,2.7689e+07,3.1394e+07,2.7132e+07
6.9904e+05,3.0084e+07,3.0887e+07,2.865e+07,2.999e+07,6.6941e+07
4.1251e+05,1.8653e+07,2.3529e+07,1.8181e+07,1.8431e+07,1.7267e+07
3.3358e+05,2.2452e+07,1.3744e+07,1.2965e+07,1.5943e+07,1.3217e+07
1.2731e+05,7.1816e+06,9.8796e+06,7.0116e+06,6.8831e+06,6.4476e+06
1.8497e+05,8.1685e+06,7.4639e+06,8.7164e+06,8.4939e+06,8.5651e+06
533,6.3642e+06,6.1662e+06,6.1797e+06,6.1568e+06,6.1373e+06
1.0389e+06,3.4711e+07,3.2961e+07,3.9323e+07,3.9578e+07,3.8426e+07
