15050,4.682e+06,479,4.781e+06,1755,4.9006e+06,5859,5.0751e+06
1.517e+06,8.4264e+06,1.271e+05,7.4416e+06,1.1601e+06,9.4923e+06,1.3609e+06,8.1409e+06
1.2351e+06,1.3904e+07,1.549e+05,1.281e+07,4.8568e+05,2.2219e+07,6.237e+05,1.3061e+07
2.868e+06,1.0909e+07,74014,8.3167e+06,1.378e+06,1.3183e+07,2.6374e+06,1.0856e+07
2.305e+06,1.0994e+07,13490,8.9274e+06,1.9354e+05,1.4174e+07,1.9789e+06,1.1072e+07
8.5624e+06,2.9705e+07,61429,2.2649e+07,1.5454e+06,4.1573e+07,7.3748e+06,2.8475e+07
2.334e+06,2.2309e+07,2.9404e+05,2.0107e+07,9.3884e+05,3.8652e+07,1.2018e+06,2.1335e+07
2.5065e+05,1.0221e+07,2.6322e+05,6.6174e+06,1.2636e+05,7.2431e+06,2.1761e+05,7.2933e+06
6.1859e+06,5.4311e+07,360,4.9733e+07,60728,9.3119e+07,3.1233e+06,5.2168e+07
1.6232e+07,6.905e+07,1.2621e+06,5.5944e+07,8.8647e+06,1.0336e+08,1.3455e+07,6.4737e+07
29530,9.7095e+06,20377,9.6751e+06,23107,9.8254e+06,24305,9.6338e+06
3.2511e+06,1.9334e+07,1.6144e+05,1.6993e+07,3.9556e+05,3.0673e+07,2.3314e+06,1.8521e+07
7.059e+05,1.0532e+07,72879,1.0039e+07,2.8779e+05,1.4052e+07,3.0662e+05,1.0429e+07
57195,4.8882e+06,44051,4.9671e+06,33920,4.9621e+06,43109,5.0423e+06
3.2452e+05,6.2722e+06,3.6514e+05,6.3831e+06,1.0593e+05,7.4159e+06,2.3891e+05,6.0021e+06
1.5345e+07,9.8636e+07,2.4013e+06,6.3017e+07,8.0746e+06,1.3088e+08,1.173e+07,7.0298e+07
2.9277e+05,6.6227e+06,5405,6.3661e+06,54243,9.4402e+06,1.7977e+05,7.6349e+06
8.4575e+05,6.8736e+06,1.4436e+05,6.479e+06,2.3832e+05,8.5197e+06,7.2617e+05,6.7929e+06
14627,4.7073e+06,16221,4.8092e+06,10136,4.8138e+06,9891,4.6691e+06
2.4759e+05,6.5124e+06,22770,5.4475e+06,47000,6.4191e+06,1.9709e+05,5.4437e+06
3.8633e+06,2.3013e+07,3.9456e+05,2.1449e+07,2.4149e+06,3.4442e+07,2.9349e+06,2.3333e+07
2.3823e+06,1.706e+07,25961,1.6136e+07,4.1382e+05,2.5818e+07,1.6386e+06,1.6652e+07
4357,6.2219e+06,2100,6.1436e+06,2169,6.0964e+06,2547,6.1944e+06
7394,4.968e+06,1195,4.7313e+06,2673,4.8713e+06,6263,4.9808e+06
4.3902e+05,7.9942e+06,55378,7.7562e+06,1.0376e+05,1.1059e+07,2.2178e+05,7.718e+06
1.5884e+05,4.9539e+06,1.6609e+05,5.1849e+06,67323,5.3318e+06,1.3792e+05,4.9693e+06
1.5425e+05,7.3488e+06,7713,9.195e+06,1.1563e+05,1.029e+07,1.3103e+05,8.7445e+06
76279,2.8495e+07,40034,3.0454e+07,44335,2.8576e+07,43414,2.8501e+07
6.053e+06,4.2981e+07,9.2324e+05,3.8106e+07,2.4289e+06,6.7828e+07,4.335e+06,4.1132e+07
3.007e+06,1.2502e+07,366,9.9431e+06,8848,1.627e+07,2.5817e+06,1.2244e+07
1.3254e+06,7.7899e+06,1.0845e+05,1.0406e+07,1.0071e+06,9.072e+06,1.1899e+06,8.0097e+06
1.2451e+07,4.661e+07,2.778e+06,5.9675e+07,1.0897e+07,9.1632e+07,1.0743e+07,7.8471e+07
7.5324e+06,2.6742e+07,2.9126e+06,3.8458e+07,6.6632e+06,3.4486e+07,6.6207e+06,2.629e+07
1.5074e+06,1.1873e+07,3.7298e+05,1.1186e+07,1.1885e+06,1.3024e+07,1.1565e+06,1.1659e+07
1.4682e+06,1.1506e+07,1.5773e+06,1.2499e+07,9.1276e+05,1.5896e+07,1.0847e+06,1.143e+07
7.7594e+06,5.4785e+07,2.0863e+05,4.806e+07,1.72e+06,9.2617e+07,5.0284e+06,5.3003e+07
1.0056e+07,2.0609e+07,8.8984e+06,2.1801e+07,9.203e+06,2.6263e+07,9.5867e+06,2.0668e+07
1.7973e+06,9.0195e+06,45799,7.2751e+06,1.1371e+06,1.0836e+07,1.6378e+06,8.9185e+06
3.341e+06,1.301e+07,1.9232e+05,1.0491e+07,2.833e+06,1.4958e+07,2.999e+06,1.2624e+07
2139,4.9921e+06,1007,5.0459e+06,1135,4.982e+06,1311,5.1733e+06
1.2477e+06,2.2121e+07,51357,2.0241e+07,1.0064e+05,3.5699e+07,2.9529e+05,2.1261e+07
6.0744e+05,7.3102e+06,80396,7.0356e+06,3.2067e+05,8.8475e+06,4.669e+05,7.1606e+06
